site,code,latitude,longitude,site_type,postcode,valid
Birmingham A4540 Roadside,BIRR,52.47609,-1.875024,Urban Traffic,B9 4HN,TRUE
Birmingham East,BIR2,52.49763,-1.831498,Urban Background,B8 2BT,TRUE
Cardiff Centre,CARD,51.48178,-3.17625,Urban Background,CF10 2RG,TRUE
Cardiff East,CAR2,51.48887,-3.163711,Urban Background,CF24 3QQ,TRUE
Cardiff Kerbside,CAR,51.482431,-3.17794,Urban Traffic,CF10 3FA,TRUE
Cardiff Newport Road,CNPR,51.49096,-3.152305,Urban Traffic,CF24 1RR,TRUE
Newport,NPT3,51.601203,-2.977281,Urban Background,NP19 7XU,TRUE
Birmingham Tyburn,BIR1,52.511722,-1.830583,Urban Background,B24 9QL,TRUE
Birmingham Tyburn Roadside,BIRT,52.512194,-1.830861,Urban Traffic,B24 9RX,TRUE
Liverpool Speke,LVP,53.34633,-2.844333,Urban Industrial,L24 0SR,TRUE
Oldbury Birmingham Road,BOLD,52.502436,-2.003497,Urban Traffic,B69 4HA,TRUE
West Bromwich Kenrick Park,WBKP,52.508337,-1.986008,Urban Background,B70 6DS,TRUE
Chepstow A48,CHP,51.638094,-2.678731,Urban Traffic,NP16 5PT,TRUE
Hafod-yr-ynys Roadside,CAE6,51.680579,-3.133508,Urban Traffic,NP11 5EW,TRUE
Birmingham Centre,BIRM,52.479724,-1.908078,Urban Background,B1 2NR,TRUE
Birmingham Ladywood,BMLD,52.481346,-1.918235,Urban Background,B1 2PJ,TRUE
Ealing Horn Lane,EA8,51.51895,-0.265617,Urban Traffic,W3 6TG,TRUE
Glasgow Centre,GLA3,55.85773,-4.255161,Urban Background,G1 4DH,TRUE
Glasgow City Chambers,GLA,55.860414,-4.245959,Urban Background,G1 1RE,TRUE
Glasgow High Street,GHSR,55.860936,-4.238214,Urban Traffic,G4 0QT,TRUE
Glasgow Hope St,GLAS,55.858317,-4.259062,Urban Traffic,G2 6AA,TRUE
Glasgow Kerbside,GLA4,55.85917,-4.258889,Urban Traffic,G2 6AA,TRUE
Glasgow Townhead,GLKP,55.865782,-4.243631,Urban Background,G4 0BJ,TRUE
Liverpool Centre,LIVR,53.40845,-2.980249,Urban Background,L1 1HL,TRUE
Liverpool Queen's Drive Roadside,LV6,53.446944,-2.9625,Urban Traffic,L4 6SG,TRUE
London Hackney,HK4,51.55877,-0.056592,Urban Background,E5 8BP,TRUE
London Haringey,HG2,51.58603,-0.126486,Urban Background,N8 8LQ,TRUE
London Haringey Priory Park South,HG4,51.584128,-0.125254,Urban Background,N8 8NY,TRUE
London Islington,ISL,51.531362,-0.096954,Urban Background,N1 7RJ,TRUE
Manchester Piccadilly,MAN3,53.48152,-2.237881,Urban Background,M1 1LT,TRUE
Manchester Town Hall,MAN,53.4785,-2.2448,Urban Background,M2 2AD,TRUE
Sheffield Barnsley Road,SHBR,53.40495,-1.455815,Urban Traffic,S5 7AE,TRUE
Sheffield Centre,SHE2,53.37772,-1.473306,Urban Background,S1 4AH,TRUE
Sheffield Devonshire Green,SHDG,53.378622,-1.478096,Urban Background,S3 7SW,TRUE
Sheffield Tinsley,SHE,53.41058,-1.396139,Urban Background,S9 1TN,TRUE
Stockton-on-Tees A1305 Roadside,SOTR,54.565819,-1.3159,Urban Traffic,TS18 1NP,TRUE
Tower Hamlets Roadside,TH2,51.52253,-0.042155,Urban Traffic,E1 4RD,TRUE
West London,WL,51.4938,-0.200361,Urban Background,W8 6PW,TRUE
Aston Hill,AH,52.50385,-3.034178,Rural Background,SY9 5JR,TRUE
Barnsley,BARN,53.580045,-1.475865,Urban Background,S71 3AF,TRUE
Barnsley 12,BAR2,53.55593,-1.485153,Urban Background,S70 2BH,TRUE
Barnsley Gawber,BAR3,53.56292,-1.510436,Urban Background,S75 2RQ,TRUE
Bath A4 Roadside,BHA4,51.390922,-2.35503,Urban Traffic,BA1 5NL,TRUE
Bath Roadside,BATH,51.391127,-2.354155,Urban Traffic,BA1 6AD,TRUE
Belfast Centre,BEL2,54.59965,-5.928833,Urban Background,BT1 1RB,TRUE
Belfast Clara St,BEL4,54.591256,-5.89546,Suburban Background,BT5 4SW,TRUE
Belfast East,BEL,54.59653,-5.901667,Urban Background,BT5 4FW,TRUE
Belfast South,BEL3,54.59918,-5.912416,Urban Background,BT4 1GW,TRUE
Birmingham Acocks Green,AGRN,52.437165,-1.829999,Urban Background,B27 7NS,TRUE
Birmingham Kerbside,BHAM,52.328057,-1.907512,Urban Traffic,B98 9AL,TRUE
Blackburn Accrington Road,BLAR,53.747751,-2.452724,Urban Traffic,BB1 2AQ,TRUE
Blackburn Darwen Roadside,BLCB,53.715504,-2.483815,Urban Traffic,BB3 0AL,TRUE
Blackpool,BLAC,53.79046,-3.029283,Urban Background,FY4 3LW,TRUE
Blackpool Marton,BLC2,53.80489,-3.007175,Urban Background,FY3 9UR,TRUE
Bolton,BOLT,53.57232,-2.439583,Urban Background,BL3 5EF,TRUE
Borehamwood Meadow Park,BDMP,51.661229,-0.270671,Urban Background,WD6 5HG,TRUE
Bournemouth,BORN,50.73957,-1.826744,Urban Background,BH7 7JY,TRUE
